"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","028_A3","033B","033E-replaced","033_A1","042B","042E","042_A1","054_V2","055_V1","067_A5","115_A2","161_A2","408_A1","442B","442E","442_A3","445_A2","447_A2","447_A3","489_A1","530B","530E","530_A2","552_A1","606_A3"
"pheS	group_2015","pheS","phenylalanyl-tRNA synthetase alpha subunit	phenylalanyl-tRNA synthetase alpha subunit","23	3","23	3","1	1","1	1","2199	2012","184	184","1	4","","L_01768___26603","L_00124___59733","L_00125___67246","L_00124___15604","L_00173___78758","L_00130___74776","L_00634___28228","L_00136","L_01353___33554","L_00147___35270","L_00128___39624","L_00125___43377","L_01043___9716","L_00135___71058","L_00134___63559","L_00134___277","L_00147___47261	L_00146___47259","L_01259___92844","L_00128___55940","L_00125___3996","L_00129___82621","L_00129___86525","L_00126___19372","L_00964___13317","L_00855___53094"
"mltB	group_2027","mltB","lytic murein transglycosylase	lytic murein transglycosylase","23	3","23	3","1	1","1	1","2126	2127","264	264","2	1","","L_01819___26709","L_00177___59843","L_00177___67354","L_00177___15714","L_00225___78865","L_00182___74883","L_00687___28337","L_00187","L_01300___33443","L_00209___35397","L_00180___39731","L_00177___43485	L_00176___43483","L_01096___9826","L_00186___71163","L_00185___63664","L_00185___382","L_00206___47383","L_01310___92949","L_00180___56047","L_00176___4102","L_00182___82731","L_00182___86635","L_00177___19478","L_01016___13425","L_00794___52968"
"trxB	group_2033","trxB","thioredoxin reductase	thioredoxin reductase","23	3","23	3","1	1","1	1","2077	2079","96	96","2	1","","L_01851___26779","L_00210___59914","L_00211___67427","L_00210___15785","L_00259___78938","L_00213___74950","L_00721___28410","L_00219","L_01269___33377","L_00247___35479","L_00211___39798","L_00209___43555","L_01129___9897","L_00219___71235","L_00218___63736","L_00217___452","L_00250___47476","L_01342___93018","L_00214___56120","L_00209___4173","L_00215___82803","L_00216___86709","L_00210___19550","L_01047___13492","L_00750___52876	L_00751___52878"
"group_2053	group_2054","","putative type II restriction endonuclease DpnI	putative type II restriction endonuclease DpnI","23	1","23	1","1	1","1	1","1265	1090","6	6","4	3","","","L_00496___60500","L_00498___68015","L_00491___16361","L_00548___79530","L_00497___75532","L_01236___29475","L_00526","L_00991___32808","L_00565___36129","L_00490___40370","","L_01407___10466","L_00495___71801","L_00491___64296","L_00491___1014","L_00572___48133","L_01628___93604","L_00500___56706","L_00526___4820","L_00501___83388","L_00509___87307","L_00486___20115","L_01332___14075","L_00427___52218	L_00428___52220"
"group_2075	tesB	tesB_2","tesB","Acyl-CoA thioesterase 2	Acyl-CoA thioesterase 2	Acyl-CoA thioesterase 2","3	23	2","3	23	2","1	1	1","1	1	1","2522	2519	2521","11	11	11","3	6	4","","L_00048___23053","L_01758___63111","L_01749___70602","L_01737___18939","L_01827___82169","L_01748___78117","L_00461___27876","L_01744","L_01906___34692","L_02035___39153	L_02034___39151","L_01737___42949","L_01774___46787","L_00832___9280","L_01719___74333","L_01708___66814","L_01721___3558","L_02036___51143	L_02037___51145","L_01046___92404","L_01757___59302","L_01757___7364","L_01796___86068","L_01834___90045","L_01768___22769","L_00747___12870","L_01101___53598	L_01100___53596"
"aroE	group_2090","aroE","shikimate 5-dehydrogenase	shikimate 5-dehydrogenase","23	3","23	3","1	1","1	1","2073	2074","228	228","2	1","","L_01854___26785","L_00213___59920","L_00214___67433","L_00213___15791","L_00262___78944","L_00216___74956","L_00724___28416","L_00222","L_01266___33371","L_00251___35487","L_00214___39804","L_00212___43561","L_01132___9903","L_00222___71241","L_00221___63742","L_00220___458","L_00253___47482	L_00254___47484","L_01345___93024","L_00217___56126","L_00212___4179","L_00218___82809","L_00219___86715","L_00213___19556","L_01050___13498","L_00747___52870"
"group_2385","","hemerythrin HHE cation binding domain protein","23","23","1","1","2400","45","6","","L_01619___26294","L_01818___63235","L_01811___70730","L_01797___19063","L_01894___82306","L_01811___78246","L_01844___30741","L_01805","L_01506___33870","L_02108___39302","L_01797___43072","L_01833___46909","L_00894___9407","L_01780___74459","L_01769___66940","L_01786___3692","L_02109___51291","","","L_01831___7515","L_01866___86212","L_01907___90195","L_01838___22913","L_00811___13000","L_01028___53449"
"mboIA","","modification methylase MboIA","23","23","1","1","1270","6","13","","","L_00495___60498","L_00497___68013","L_00490___16359","L_00547___79528","L_00496___75530","L_01237___29477","L_00525","L_00992___32810","L_00564___36127","L_00489___40368","","L_01406___10464","L_00494___71799","L_00490___64294","L_00490___1012","L_00571___48131","L_01627___93602","L_00499___56704","L_00525___4818","L_00500___83386","L_00508___87305","L_00485___20113","L_01331___14073","L_00429___52222"
"group_2661","","hypothetical protein","23","23","1","1","3337","97","2","","L_01312___25651","L_01155___61857","L_01147___69351","L_01141___17699","L_01218___80905","L_01150___76875","L_00159___27256","L_01162","","","L_01148___41724","L_01184___45559","L_00248___8065","L_01131___73110","L_01125___65601","L_01128___2325","L_01284___49591","L_00436___91138","L_01140___58022","L_01161___6127","L_01207___84843","L_01231___88793","L_01179___21544","L_00076___11477","L_01773___54989"
"group_2685","","hypothetical protein","23","23","1","1","1264","6","2","","","L_00497___60502","L_00499___68017","L_00492___16363","L_00549___79532","L_00498___75534","L_01235___29473","L_00527","L_00990___32806","L_00566___36131","L_00491___40372","","L_01408___10468","L_00496___71803","L_00492___64298","L_00492___1016","L_00573___48135","L_01629___93606","L_00501___56708","L_00527___4822","L_00502___83390","L_00510___87309","L_00487___20117","L_01333___14077","L_00426___52216"
"mboIB","","modification methylase MboIB","23","23","1","1","1263","6","1","","","L_00498___60504","L_00500___68019","L_00493___16365","L_00550___79534","L_00499___75536","L_01234___29471","L_00528","L_00989___32804","L_00567___36133","L_00492___40374","","L_01409___10470","L_00497___71805","L_00493___64300","L_00493___1018","L_00574___48137","L_01630___93608","L_00502___56710","L_00528___4824","L_00503___83392","L_00511___87311","L_00488___20119","L_01334___14079","L_00425___52214"
"group_2721","","hypothetical protein","23","23","1","1","1605","98","1","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","","L_01709___63010","L_01701___70503","L_01689___18840","L_01778___82069","L_01700___78019","L_01661___30359","L_01694","L_01857___34592","L_01973___39027","L_01690___42852","","L_00782___9178","L_01671___74235","L_01662___66720","L_01671___3456","L_01975___51018","L_00996___92302","L_01707___59200","L_01709___7266","L_01746___85966","L_01783___89941","L_01719___22669","L_00692___12758","L_01161___53721"
"group_284	group_283	group_282	group_281	group_280","","putative phosphoglycolate phosphatase	putative phosphoglycolate phosphatase	putative phosphoglycolate phosphatase	putative phosphoglycolate phosphatase	putative phosphoglycolate phosphatase","1	3	5	1	23","1	3	5	1	23","1	1	1	1	1","1	1	1	1	1","2540	2538	2543	2539	2542","65	65	65	65	65","1	2	5	6	7","","L_00038___23033","L_01768___63131","L_01759___70622","L_01747___18959","L_01839___82193	L_01838___82191","L_01758___78137","L_00471___27896","L_01755	L_01754","L_01917___34714","L_02049___39181	L_02048___39179","L_01748___42971	L_01747___42969","L_01784___46807","L_00842___9300","L_01729___74353","L_01718___66834","L_01732___3580	L_01731___3578","L_02050___51171	L_02049___51169	L_02048___51167","L_01056___92424","L_01769___59326	L_01768___59324","L_01768___7386","L_01806___86088","L_01846___90069","L_01778___22789","L_00758___12892","L_01088___53572"
"group_359	cys1","cys1","CRISPR-associated Csy1 family protein	CRISPR-associated Csy1 family protein","4	23","4	23","1	1","1	1","1963	2320","15	15","15	2","","L_01664___26387","L_00025___59528","L_00025___67039","L_00024___15397","L_00069___78542","L_00025___74558","L_01781___30610","L_00033","L_01458___33771","L_00029___35027","L_00023___39406","L_00023___43165","L_00942___9506","L_00032___70845","L_00032___63348","L_00032___66","L_00030___47018","L_01156___92630","L_00026___55728","L_00024___3787","L_00025___82405","L_00024___86307	L_00025___86309","L_00024___19160","L_00858___13097","L_00972___53334	L_00971___53332"
"group_482	gatA","gatA","aspartyl/glutamyl(asn/Gln)-tRNA amidotransferase subunit A	aspartyl/glutamyl(asn/Gln)-tRNA amidotransferase subunit A","4	23","4	23","1	1","1	1","1048	1774","210	210","1	2","","L_00264___23501","L_01566___62710","L_01556___70200","L_01548___18544","L_01620___81739","L_01546___77697","L_01535___30103","L_01553","L_01639___34147	L_01638___34145","L_01812___38691","L_01551___42561","L_01573___46369","L_00639___8878","L_01530___73939","L_01519___66420","L_01527___3154","L_01805___50665","L_00841___91978","L_01550___58872","L_01568___6971","L_01594___85649","L_01626___89615","L_01566___22350","L_00544___12448","L_01324___54060	L_01323___54058"
"group_508	group_506	group_507","","L-lysine 2,3-aminomutase	L-lysine 2,3-aminomutase	L-lysine 2,3-aminomutase","1	23	3","1	23	3","1	1	1","1	1	1","1377	1543	1545","4	4	4","33	32	31","","L_00534___24048","L_00402___60304","L_00405___67821","L_00400___16171","L_00460___79346","L_00413___75356","L_00204___27347","L_00441","L_01075___32983","L_00465___35921	L_00466___35923","L_00407___40196","L_00419___43981","L_01322___10288","L_00413___71629","L_00410___64126","L_00411___846","L_00474___47929","L_01543___93426","L_00412___56522","L_00440___4640","L_00414___83206","L_00414___87110","L_00402___19939","L_01244___13891","L_00531___52433	L_00530___52431"
"prfA_2	prfA_1	group_526	prfA","prfA_1","peptide chain release factor 1	peptide chain release factor 1	peptide chain release factor 1	peptide chain release factor 1","6	3	1	23","6	3	1	23","1	1	1	1","1	1	1	1","3067	3066	2748	3069","1	1	1	1","310	309	308	311","","L_00938___24883","L_00775___61077","L_00779___68596	L_00778___68594","L_00771___16940","L_00880___80211	L_00879___80209","L_00821___76199","L_01308___29631","L_00787","L_00692___32190	L_00693___32192","L_00868___36751	L_00867___36749","L_00745___40897","L_00812___44794","L_01693___11055","L_00765___72359","L_00761___64854","L_00762___1574	L_00761___1572","L_00866___48737	L_00865___48735	L_00864___48733","L_00106___90460","L_00811___57346","L_00796___5377","L_00757___83920","L_00771___87851","L_00735___20633","L_01636___14700","L_00098___51543	L_00099___51545"
"group_533	group_535	group_534	group_537	group_536","","hypothetical protein	phoH-like protein	phoH-like protein	phoH-like protein	phoH-like protein","23	1	7	19	1","23	1	7	19	1","1	1	1	1	1","1	1	1	1	1","3002	2968	3001	2998	2999","99	99	99	99	99","1	3	4	2	5","","L_01021___25053	L_01022___25055","L_00819___61167	L_00820___61169","L_00823___68686	L_00824___68688","L_00814___17028	L_00815___17030","L_00923___80299	L_00924___80301","L_00862___76283	L_00863___76285","L_00586___28131	L_00584___28127	L_00585___28129","L_00829	L_00830","L_00581___31963	L_00580___31961","L_00916___36849	L_00917___36851	L_00918___36853","L_00859___41129	L_00860___41131","L_00897___44968	L_00898___44970","L_01736___11143	L_01737___11145","L_00805___72441	L_00806___72443","L_00803___64940	L_00804___64942","L_00803___1658	L_00804___1660","L_00911___48829","L_00147___90544	L_00148___90546","L_00852___57430	L_00853___57432","L_00870___5527	L_00871___5529","L_00871___84152	L_00872___84154","L_00892___88097	L_00893___88099","L_00849___20865	L_00850___20867","L_01680___14790	L_01681___14792","L_00043___51431	L_00042___51429"
"group_562	group_560	group_561	group_559	group_558	group_557	group_556","","branched-chain amino acid ABC transporter permease protein	branched-chain amino acid ABC transporter permease protein	branched-chain amino acid ABC transporter permease protein	branched-chain amino acid ABC transporter permease protein	branched-chain amino acid ABC transporter permease protein	ABC transporter ATPase subunit	ABC transporter ATPase subunit","20	3	1	1	1	2	23","20	3	1	1	1	2	23","1	1	1	1	1	1	1","1	1	1	1	1	1	1","961	962	904	907	905	906	960","102	102	102	102	102	102	102","4	1	5	2	7	6	3","","L_01513___26068	L_01512___26066","L_01357___62276	L_01356___62274","L_01347___69766	L_01346___69764","L_01341___18114	L_01340___18112","L_01424___81332	L_01423___81330","L_01354___77298	L_01353___77296","L_00862___28704	L_00863___28706","L_01362	L_01361","L_00087___30940	L_00088___30942","L_01449___37945	L_01448___37943	L_01447___37941","L_01347___42137	L_01346___42135","L_01380___45967	L_01379___45965","L_00443___8470	L_00442___8468","L_01325___73513	L_01324___73511","L_01316___65998","L_01323___2730	L_01322___2728","L_01505___50049	L_01504___50047","L_00637___91555	L_00636___91553","L_01345___58447	L_01344___58445","L_01364___6548	L_01363___6546","L_01402___85250	L_01401___85248","L_01431___89210	L_01430___89208","L_01373___21949	L_01372___21947","L_00275___11890	L_00274___11888","L_01550___54527	L_01551___54529	L_01552___54531"
"group_624	gatB","gatB","aspartyl/glutamyl(asn/Gln)-tRNA amidotransferase subunit B	aspartyl/glutamyl(asn/Gln)-tRNA amidotransferase subunit B","3	23","3	23","1	1","1	1","1049	1772","262	262","2	1","","L_00262___23497","L_01568___62714","L_01558___70204","L_01550___18548","L_01622___81743","L_01548___77701","L_01533___30099","L_01555","L_01636___34141","L_01814___38695","L_01553___42565","L_01575___46373","L_00641___8882","L_01532___73943","L_01521___66424","L_01529___3158","L_01808___50671	L_01807___50669","L_00843___91982","L_01552___58876","L_01570___6975","L_01596___85653","L_01628___89619","L_01568___22354","L_00546___12452","L_01321___54054"
"nspC_1	nspC","","carboxynorspermidine decarboxylase	carboxynorspermidine decarboxylase","10	23","10	23","1	1","1	1","737	736","55	55","2	5","","L_01083___25180","L_00881___61294	L_00882___61296","L_00885___68813","L_00876___17155","L_00987___80430	L_00988___80432","L_00925___76412	L_00926___76414","L_00260___27461","L_00891","L_00519___31836","L_00988___36996","L_00922___41258","L_00960___45097","L_01799___11272","L_00869___72572","L_00866___65069","L_00865___1785","L_00982___48974","L_00209___90671	L_00210___90673","L_00914___57557	L_00915___57559","L_00934___5658","L_00934___84281	L_00935___84283","L_00954___88224	L_00955___88226","L_00911___20992","L_01743___14919	L_01744___14921","L_02083___55622"
"dacA	dacA_2","","D-alanyl-D-alanine carboxypeptidase	D-alanyl-D-alanine carboxypeptidase","23	4","23	4","1	1","1	1","61	60","48	48","5	3","","L_01272___25570","L_01058___61660","L_01055___69165","L_01046___17507","L_01175___80818","L_01109___76792","","L_01073	L_01074","L_00330___31444","L_01178___37387	L_01179___37389","L_01106___41639	L_01107___41641","L_01145___45480","L_00146___7859","L_01039___72924","L_01033___65415","L_01035___2137","L_01176___49374","L_00395___91055","L_01099___57939","L_01119___6042","L_01114___84654","L_01136___88600","L_01088___21359","L_01919___15283","L_01890___55225"
"queA	group_765	queA_1","queA","S-adenosylmethionine:tRNA ribosyltransferase-isomerase	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	S-adenosylmethionine:tRNA ribosyltransferase-isomerase","23	3	1","23	3	1","1	1	1","1	1	1","3487	3484	3483","51	51	51","8	2	9","","L_01442___25919","L_01284___62123","L_01276___69617","L_01269___17963","L_01350___81177","L_01282___77147","L_00951___28885","L_01289","L_00159___31091","L_01361___37762	L_01360___37760","L_01275___41986","L_01309___45818","L_00370___8317","L_01252___73360","L_01245___65849","L_01250___2577","L_01424___49880	L_01423___49878","L_00565___91404","L_01272___58294","L_01289___6391","L_01328___85095","L_01354___89049","L_01302___21800","L_00200___11733","L_01636___54706"
"nhaA	nhaA_3	nhaA_1","","Na /H  antiporter NhaA	Na /H  antiporter NhaA	Na /H  antiporter NhaA","23	1	5","23	1	5","1	1	1","1	1	1","991	896	897","170	170	170","2	1	3","","L_01537___26121","L_01382___62331","L_01371___69819","L_01365___18167","L_01449___81387","L_01378___77351","L_00836___28647","L_01386","L_00063___30888","L_01476___38004	L_01477___38006	L_01475___38002","L_01372___42192","L_01404___46020","L_00468___8525","L_01350___73568","L_01341___66053","L_01347___2783","L_01534___50112	L_01533___50110","L_00660___91606","L_01369___58500","L_01389___6602	L_01388___6600","L_01426___85303","L_01456___89265","L_01398___22004","L_00299___11943","L_01522___54466"
